customer_id,full_name,age,monthly_income,employment_years,credit_score,debt_to_income,region,customer_segment,risk_segment
1,Javier Aponte de la O,53,112.1,12,593,0.31,Nuevo León,Economic,High Risk
2,Sra. Dulce María Quintana,35,208.09,4,525,0.27,Quintana Roo,Economic,High Risk
3,Alejandra Cristal Perales Pedroza,32,193.44,5,586,0.56,Michoacán de Ocampo,Economic,High Risk
4,Bernabé Montemayor Reyna,23,207.49,2,532,0.27,Chiapas,Economic,High Risk
5,Rafaél Uribe,69,212.9,5,661,0.21,Tlaxcala,Economic,Medium Risk
6,Mateo Matías Sauceda,51,208.87,6,562,0.35,Baja California,Economic,High Risk
7,Marcela Mateo,50,459.16,6,522,0.2,Tlaxcala,Economic,High Risk
8,Srita. Francisca Suárez,25,283.39,1,568,0.47,Zacatecas,Economic,High Risk
9,Clara Rascón,41,162.2,1,502,0.58,Aguascalientes,Economic,High Risk
10,Leonel Rocha,40,109.87,18,669,0.47,Oaxaca,Economic,Medium Risk
11,Dra. Anel Guillen,61,297.81,4,586,0.37,Querétaro,Economic,High Risk
12,Ing. Miguel Ángel Cervántez,32,274.52,11,530,0.3,Jalisco,Economic,High Risk
13,Soledad Gracia Murillo,27,97.34,2,656,0.29,Querétaro,Economic,Medium Risk
14,Sr. Benito Urbina,49,138.53,23,573,0.21,Quintana Roo,Economic,High Risk
15,Irma Barrientos,34,180.57,11,529,0.29,Durango,Economic,High Risk
16,María del Carmen Barrios,24,214.85,0,524,0.43,Campeche,Economic,High Risk
17,Mónica Rascón Leiva,37,,5,595,0.28,Campeche,Economic,High Risk
18,Andrés Reynaldo Carvajal,61,208.61,28,540,0.55,Distrito Federal,Economic,High Risk
19,Lic. Óliver Casárez,33,275.56,1,622,0.36,Zacatecas,Economic,High Risk
20,Elvia Batista,47,303.37,28,604,0.43,Yucatán,Economic,High Risk
21,Elvira Elisa Hernádez,45,307.54,0,587,0.36,Sinaloa,Economic,High Risk
22,Sra. Carolina Paredes,27,229.02,5,509,0.42,San Luis Potosí,Economic,High Risk
23,Alonso Abel Corral Hernádez,67,257.65,43,534,0.15,Distrito Federal,Economic,High Risk
24,Nancy Pamela Aguayo Lozada,66,144.44,31,502,0.47,San Luis Potosí,Economic,High Risk
25,Sra. Delia Alcántar,55,394.21,2,653,0.31,Sonora,Economic,Medium Risk
26,Espartaco Lozada,34,367.78,5,542,0.11,Oaxaca,Economic,High Risk
27,Zacarías Andrés Sanabria,69,425.81,12,629,0.11,Quintana Roo,Economic,High Risk
28,Jonás Nieto,63,378.25,34,624,0.42,Tabasco,Economic,High Risk
29,Dulce Irene Vázquez Roldán,47,120.77,20,571,0.3,Campeche,Economic,High Risk
30,Alvaro Segovia Naranjo,46,267.57,19,521,0.51,Hidalgo,Economic,High Risk
31,Ana Castellanos,52,114.24,28,608,0.37,Aguascalientes,Economic,High Risk
32,Lic. Lorena Madrid,34,323.39,0,511,0.54,Campeche,Economic,High Risk
33,Blanca Esmeralda Terrazas Duarte,27,123.18,3,540,0.1,Nuevo León,Economic,High Risk
34,Humberto Víctor Gaitán Serrato,24,276.22,0,596,0.27,Baja California Sur,Economic,High Risk
35,Lic. Santiago Casillas,32,221.37,7,562,0.44,Morelos,Economic,High Risk
36,Araceli Emilia Casanova,54,289.01,24,664,0.31,Yucatán,Economic,Medium Risk
37,Daniela Castañeda Velasco,36,181.47,12,548,0.36,Chihuahua,Economic,High Risk
38,Aldo Cardona,39,217.56,14,582,0.24,Baja California,Economic,High Risk
39,Alonso Barraza Maldonado,29,225.59,3,534,0.33,Distrito Federal,Economic,High Risk
40,Flavio Borrego,32,338.4,2,658,0.5,Michoacán de Ocampo,Economic,Medium Risk
41,Claudio Pedro Sáenz,36,137.1,2,596,0.59,Michoacán de Ocampo,Economic,High Risk
42,Ing. Pedro Zaragoza,65,156.47,19,619,0.41,Morelos,Economic,High Risk
43,Jorge Genaro Abreu,43,187.02,20,587,0.39,Nuevo León,Economic,High Risk
44,Leonel Porfirio Noriega Campos,38,,7,615,0.43,Chiapas,Economic,High Risk
45,Dra. Elisa Aguayo,63,218.83,6,614,0.54,San Luis Potosí,Economic,High Risk
46,Benito Adame Aguirre,67,211.02,12,570,0.15,Morelos,Economic,High Risk
47,Lic. René Orosco,21,409.57,0,533,0.28,Guanajuato,Economic,High Risk
48,Cecilia Ojeda,31,500.53,5,656,0.38,Distrito Federal,Economic,Medium Risk
49,Salma Judith Uribe,62,158.56,10,561,0.47,Michoacán de Ocampo,Economic,High Risk
50,Dr. Abelardo Gutiérrez,39,113.38,12,507,0.32,Guerrero,Economic,High Risk
51,Estefanía Gil,37,249.69,9,522,0.12,Puebla,Economic,High Risk
52,Dr. Mauricio Orellana,26,225.58,0,512,0.5,Nayarit,Economic,High Risk
53,Olivia Padrón,48,,14,632,0.48,Distrito Federal,Economic,High Risk
54,Patricia Anabel Estévez Madrid,70,328.51,29,678,0.55,Chihuahua,Economic,Medium Risk
55,Humberto Chavarría Madera,63,240.77,23,547,0.44,Zacatecas,Economic,High Risk
56,Diego Patricio Nieto,49,340.25,3,500,0.21,Chiapas,Economic,High Risk
57,Srita. Rocío Guevara,34,305.03,6,609,0.41,Chiapas,Economic,High Risk
58,Ana María Estela Serrano Sepúlveda,31,68.56,2,589,0.12,Puebla,Economic,High Risk
59,Eugenia Molina,44,337.86,18,541,0.36,México,Economic,High Risk
60,Beatriz Elsa Rivera,21,354.97,2,510,0.14,Jalisco,Economic,High Risk
61,Jaime Ceballos Rubio,65,209.41,40,536,0.24,Colima,Economic,High Risk
62,Eric Gustavo Jiménez,36,232.74,2,551,0.36,Baja California Sur,Economic,High Risk
63,Anel Segovia Valentín,45,126.82,1,618,0.12,Zacatecas,Economic,High Risk
64,David Fidel Tapia,63,170.29,10,678,0.36,Chihuahua,Economic,Medium Risk
65,Estela Abigail Urías Valdés,31,526.55,6,609,0.16,Puebla,Economic,High Risk
66,Rubén Salvador Espinoza,24,174.4,0,505,0.55,Tamaulipas,Economic,High Risk
67,Rafaél Gerardo Arenas Urías,34,296.88,13,601,0.4,Sinaloa,Economic,High Risk
68,Armando Isaac Alba Valverde,48,240.29,6,679,0.31,San Luis Potosí,Economic,Medium Risk
69,Raquel Almanza,67,365.19,21,559,0.2,Querétaro,Economic,High Risk
70,Natalia Mercado Peña,66,,5,550,0.32,Jalisco,Economic,High Risk
71,Raquel Karla Márquez,65,119.53,30,529,0.21,San Luis Potosí,Economic,High Risk
72,Lic. Aldo Gaitán,66,69.74,30,549,0.54,Coahuila de Zaragoza,Economic,High Risk
